"logFC","logCPM","LR","PValue","FDR"
"K09833",-0.959179061152041,4.74359784138049,25.2256791839787,5.0998624249019e-07,1.41314759288115e-05
"K03535",0.799644389054744,4.98298376689132,25.1271445923578,5.36720068031295e-07,1.47697849103019e-05
"K18291",1.52212239659575,1.75316947870925,25.1221987899079,5.38098367586185e-07,1.47697849103019e-05
"K11383",1.51235419586052,2.59102612841508,25.1101295518093,5.41476745473874e-07,1.4792737943251e-05
"K18346",-0.765011354485077,3.46849293312022,25.0513887216592,5.58225367747078e-07,1.517903464916e-05
"K02715",-1.57863784994884,2.00426097282261,25.0404648619046,5.61396864812353e-07,1.51942714248516e-05
"K02720",-1.59894759213345,4.29556036888276,25.0270750712909,5.65308942979025e-07,1.52293182370136e-05
"K02719",-1.60936494766987,3.18959097549844,25.0087285004053,5.70713658404369e-07,1.53040681025577e-05
"K02285",-1.5616995796236,3.64818838050367,24.9841064600678,5.78048573738974e-07,1.54296543604912e-05
"K19172",-0.741241828761134,4.07200787793109,24.8670125781792,6.1424557847291e-07,1.63209818316615e-05
"K06136",0.320528457060768,6.36319805519139,24.8428480789499,6.21993851442298e-07,1.64517373706488e-05
"K03317",-0.374908902372718,7.82041088051333,24.7979384145034,6.36655254658645e-07,1.67633345106726e-05
"K19610",2.28208905733498,1.07730557361894,24.7153342220796,6.64533444959947e-07,1.73523664963278e-05
"K19166",-0.485713494725847,4.96561180988621,24.7140100832677,6.64990157876111e-07,1.73523664963278e-05
"K03288",2.12143387572851,2.78910657152682,24.6834233464308,6.75627972648182e-07,1.74118011801868e-05
"K15468",-0.533207095091815,5.59251496760156,24.6813883674413,6.76341745358087e-07,1.74118011801868e-05
"K00510",-0.94280525402559,4.86463877485255,24.6779976734353,6.77532717484165e-07,1.74118011801868e-05
"K16322",1.95165499479922,2.04087496513334,24.6711119373677,6.7995778877524e-07,1.74118011801868e-05
"K02095",-1.6250673760874,3.38214942453367,24.6646853067206,6.8222902029259e-07,1.74118011801868e-05
"K04035",-1.10662081899708,5.05514185624092,24.6558008165225,6.85381414695433e-07,1.74158709699246e-05
"K14330",-1.62727632100428,4.2429396414454,24.6446999358837,6.89340761819214e-07,1.74403212740261e-05
"K02711",-1.54099368630483,1.49928370742651,24.464063322808,7.5708860630528e-07,1.9071422511214e-05
"K02092",-1.64260103107559,3.82091142594885,24.4035998665331,7.81225762759713e-07,1.95946237650809e-05
"K05787",1.775392464758,0.616433241204516,24.3932151703637,7.85448331945477e-07,1.96142338812588e-05
"K02699",-1.48243494255531,3.5454651089567,24.3851365167095,7.88749051076571e-07,1.96142338812588e-05
"K11951",-1.59435896678952,3.96974254420968,24.3691262886355,7.95331548829807e-07,1.96937629048538e-05
"K05371",-1.5020691253307,3.90983459049509,24.2938155191865,8.27041756814006e-07,2.03921863682233e-05
"K00018",0.307052680923135,6.77870154444775,24.267722242397,8.38321750285687e-07,2.05830981641874e-05
"K05579",-1.4497269619341,4.79722031933981,24.2425153730175,8.49365035063492e-07,2.07666182312372e-05
"K18968",1.18806849842719,2.80948480284453,24.1586828547598,8.87152762625432e-07,2.15997570113698e-05
"K10545",0.229979015000304,7.49147905597709,24.1299374825107,9.0049425250957e-07,2.18332335639716e-05
